sample,treatment,genotype
genotype1_VIS_Pool1,VIS,genotype1
genotype1_VIS_Pool2,VIS,genotype1
genotype1_VIS_Pool3,VIS,genotype1
genotype1_UV_Pool1,UV,genotype1
genotype1_UV_Pool2,UV,genotype1
genotype1_UV_Pool3,UV,genotype1
genotype2_VIS_Pool1,VIS,genotype2
genotype2_VIS_Pool2,VIS,genotype2
genotype2_VIS_Pool3,VIS,genotype2
genotype2_UV_Pool1,UV,genotype2
genotype2_UV_Pool2,UV,genotype2
genotype2_UV_Pool3,UV,genotype2
genotype3_VIS_Pool1,VIS,genotype3
genotype3_VIS_Pool2,VIS,genotype3
genotype3_VIS_Pool3,VIS,genotype3
genotype3_UV_Pool1,UV,genotype3
genotype3_UV_Pool2,UV,genotype3
genotype3_UV_Pool3,UV,genotype3
genotype4_VIS_Pool1,VIS,genotype4
genotype4_VIS_Pool2,VIS,genotype4
genotype4_VIS_Pool3,VIS,genotype4
genotype4_UV_Pool1,UV,genotype4
genotype4_UV_Pool2,UV,genotype4
genotype4_UV_Pool3,UV,genotype4
