"genotype1_cntrl_rep1","genotype1_cntrl_rep2","genotype1_cntrl_rep3","genotype1_treat_rep1","genotype1_treat_rep2","genotype1_treat_rep3","genotype2_cntrl_rep1","genotype2_cntrl_rep2","genotype2_cntrl_rep3","genotype2_treat_rep1","genotype2_treat_rep2","genotype2_treat_rep3","genotype3_cntrl_rep1","genotype3_cntrl_rep2","genotype3_cntrl_rep3","genotype3_treat_rep1","genotype3_treat_rep2","genotype3_treat_rep3","genotype4_cntrl_rep1","genotype4_cntrl_rep2","genotype4_cntrl_rep3","genotype4_treat_rep1","genotype4_treat_rep2","genotype4_treat_rep3","genotype5_cntrl_rep1","genotype5_cntrl_rep2","genotype5_cntrl_rep3","genotype5_treat_rep1","genotype5_treat_rep2","genotype5_treat_rep3","genotype6_cntrl_rep1","genotype6_cntrl_rep2","genotype6_cntrl_rep3","genotype6_treat_rep1","genotype6_treat_rep2","genotype6_treat_rep3"
"gene-ATP6",7617.50912812136,7917.42211175299,7733.35886258288,7629.61800539182,6920.96760032246,8816.3401672297,5946.77194405618,5662.94042295474,6631.0910858628,6314.64344039194,7416.97358502525,6814.95921654042,7362.42232760175,8346.60334686539,8040.62833133058,8230.97235011926,8611.96676815083,6286.67518802446,9126.42665523755,7841.84125110652,8102.55978485624,9091.52519742306,7660.79121444522,8030.06552688004,38117.9714893585,30037.1067424109,32204.3561631384,32535.0712921048,33284.3125899169,33859.5859867628,16985.6150850087,14214.431363549,13209.1730261775,12459.7370411434,13797.6308351939,14954.0771423772
"gene-ATP8",2374.33549324381,2000.52963499792,1914.69371579711,2111.83210055164,1907.65609365147,2078.04388144382,1659.20764400949,1697.64297143282,1730.53385396182,2235.48547977534,2534.19866578232,1718.78165055184,2006.96893682725,1616.59000294292,1933.35846947993,2134.00834590232,2000.02944043336,1523.15559155253,2637.03033477785,1854.23428740041,1428.3485586507,2269.84674488399,1457.08965845903,1751.38991534233,1591.52766697783,1660.75044553758,1709.25812674284,2316.50231431968,2029.79428062924,2028.2835447674,215.223813803906,353.357212266595,187.160292889889,209.284645612956,165.165782009674,218.142976423007
"gene-COX1",60504.5974892998,57238.9754894183,55254.4984170381,59405.7455062873,57096.8942720249,61934.7645168724,57357.6734903242,56854.0011555125,55216.6156421382,59396.5036720245,66927.0662377733,67935.9979462866,56543.287744952,63239.7108682419,56883.1901567573,66426.6853203212,63820.4594371629,49655.2540278685,63087.3295553756,61993.5084095603,58399.3482292985,69614.7026187194,64356.5504720254,67829.8719296124,86753.9393303495,91978.1036227807,90588.3794610573,93325.0684255787,101842.791194799,94678.5373409898,59524.0804159603,57980.6363890536,51501.6579335843,50801.6575343933,53344.3555642004,54821.5866265818
"gene-COX2",23211.5086004913,21888.9449140077,20231.1881342423,23959.8998199207,19932.0674159423,23693.725515058,18877.7039755811,18221.7809451968,18990.2492283392,19892.495900958,23166.582532931,21891.9032749108,18049.2184780019,22972.5099071569,18991.127301924,21237.9234850172,20619.1835143813,16539.0265674219,21200.4143054431,21227.5007376807,19377.7967079636,24533.3613861036,21552.6966702022,21629.0931048323,38462.3938149962,32715.5350925449,34846.1984108675,34464.5198277756,37539.6113435225,35636.3623719791,27005.3739584874,23898.9689801546,21273.6737010405,21773.3904793981,24239.9649211354,25051.3388211754
"gene-COX3",23784.914838332,23124.3834805828,22513.2358769075,23469.4143237246,22180.0394882635,26042.4685752468,21184.8000018402,20452.2607616779,21516.8286551235,21796.1464115862,23460.8619670996,24041.8845227423,22612.8787418494,25775.1367651268,24572.8437390651,25524.3857276841,24074.5943780292,19756.4859769796,20851.1913265711,20046.031277663,19833.9371457297,22725.7784390859,20624.8827053368,21181.2295071998,40673.767620994,34564.2819335464,35291.4915075012,34262.9899467874,36874.9955066537,35487.4284088347,9829.18624539687,9490.55543564482,8309.78924984494,8444.39209624368,8545.86201027717,9457.87709273082
"gene-CYTB",18504.3975198976,17544.0181453628,16722.400580642,19110.6379055917,15498.5266277299,19215.6164242953,19701.1739430794,19515.1494498924,18994.9688661228,19563.2686722364,23063.584730972,22785.3889520646,16167.6248231485,19174.9343890217,17470.0739707969,20491.5881193626,18907.7983227913,13571.6089905627,16906.5590424941,17285.3349070522,14695.547306617,18077.8525064914,15606.252622656,16528.7423260433,44269.1033215656,47434.0573160081,48387.9411867924,43486.801611657,53470.4210005823,47568.4647110536,18184.0419601106,19826.2538944427,16926.827990748,17147.7131028736,17427.0860144826,17702.1771672003
"gene-LOC124188262",0,0,0,0,0,0,0,0,0,0,0,1.00278976111542,0,0,0.678133451238136,0,0,0,0,0,0.495266490516885,0,0,0.715437056920888,16.5368335157137,19.423981819153,24.1631912902051,20.3712515078364,20.7692449021489,23.1803833687703,10.4293478054756,9.10714464604627,9.58158496023323,13.6278373887506,6.70723987856542,13.7906479347878
"gene-LOC124188263",2.40926990689376,1.69392856477385,3.33958206243683,0.703709463695981,0.725620423602691,1.0063166496096,0.766731813313071,1.54894431700075,3.14642518902149,1.30387021275902,1.13184397757138,2.00557952223085,1.9288504919051,1.61255860642685,0.678133451238136,0,0.640009420938676,1.27247752009401,3.96844294172738,1.18028917084686,2.97159894310131,2.02303631451336,1.05433405098338,0,6.84282766167463,8.32456363677986,13.232223801779,18.1886174177111,13.5798908975589,11.0106821001659,8.53310274993458,9.10714464604627,9.58158496023323,6.8139186943753,10.8992648026688,6.26847633399445
"gene-LOC124188264",810.719323669752,716.53178289934,1004.10100677267,814.19184949625,916.458595010199,842.287035723235,946.14705762833,864.310928886418,951.793619679002,957.692671271502,814.927663851393,835.323871009147,853.516342668005,898.195143779757,777.140935118904,725.052037736759,725.13067392352,825.837910541013,914.726098068162,925.346709943936,976.665519299297,794.041753446495,841.358572684735,846.36203833741,403.15659640033,539.709209117895,642.05051142545,642.421967193554,441.745862726475,477.515897396669,1022.07608493661,1048.23234875993,851.483516799393,948.108115474507,930.629533150952,956.569488567553
"gene-LOC124188265",397.529534637471,371.534998540398,372.919996972112,435.596158027812,374.420138578988,499.133058206361,374.931856710092,340.767749740165,380.717447871601,368.343335104424,421.045959656553,372.035001373822,315.367055426483,424.909192793476,367.54833057107,384.518791050219,339.845002518437,337.84278158496,365.096750638919,378.872823841841,405.623255733329,456.194688922763,406.972943679584,405.652811274143,241.209675074031,196.320959100725,254.288822625492,200.80233629153,251.62739016065,242.814515787869,210.483201165053,198.535753283809,179.495024921703,220.965649089028,176.903451797163,206.859719021817
