sample,factor
genotype1_cntrl_rep1,cntrl.genotype1
genotype1_cntrl_rep2,cntrl.genotype1
genotype1_cntrl_rep3,cntrl.genotype1
genotype1_treat_rep1,treat.genotype1
genotype1_treat_rep2,treat.genotype1
genotype1_treat_rep3,treat.genotype1
genotype2_cntrl_rep1,cntrl.genotype2
genotype2_cntrl_rep2,cntrl.genotype2
genotype2_cntrl_rep3,cntrl.genotype2
genotype2_treat_rep1,treat.genotype2
genotype2_treat_rep2,treat.genotype2
genotype2_treat_rep3,treat.genotype2
genotype3_cntrl_rep1,cntrl.genotype3
genotype3_cntrl_rep2,cntrl.genotype3
genotype3_cntrl_rep3,cntrl.genotype3
genotype3_treat_rep1,treat.genotype3
genotype3_treat_rep2,treat.genotype3
genotype3_treat_rep3,treat.genotype3
genotype4_cntrl_rep1,cntrl.genotype4
genotype4_cntrl_rep2,cntrl.genotype4
genotype4_cntrl_rep3,cntrl.genotype4
genotype4_treat_rep1,treat.genotype4
genotype4_treat_rep2,treat.genotype4
genotype4_treat_rep3,treat.genotype4
genotype5_cntrl_rep1,cntrl.genotype5
genotype5_cntrl_rep2,cntrl.genotype5
genotype5_cntrl_rep3,cntrl.genotype5
genotype5_treat_rep1,treat.genotype5
genotype5_treat_rep2,treat.genotype5
genotype5_treat_rep3,treat.genotype5
genotype6_cntrl_rep1,cntrl.genotype6
genotype6_cntrl_rep2,cntrl.genotype6
genotype6_cntrl_rep3,cntrl.genotype6
genotype6_treat_rep1,treat.genotype6
genotype6_treat_rep2,treat.genotype6
genotype6_treat_rep3,treat.genotype6
