sample,treatment,level
genotype1_cntrl_rep1,1,1
genotype1_cntrl_rep2,1,1
genotype1_cntrl_rep3,1,1
genotype1_treat_rep1,2,1
genotype1_treat_rep2,2,1
genotype1_treat_rep3,2,1
genotype2_cntrl_rep1,1,1
genotype2_cntrl_rep2,1,1
genotype2_cntrl_rep3,1,1
genotype2_treat_rep1,2,1
genotype2_treat_rep2,2,1
genotype2_treat_rep3,2,1
genotype3_cntrl_rep1,1,2
genotype3_cntrl_rep2,1,2
genotype3_cntrl_rep3,1,2
genotype3_treat_rep1,2,2
genotype3_treat_rep2,2,2
genotype3_treat_rep3,2,2
genotype4_cntrl_rep1,1,2
genotype4_cntrl_rep2,1,2
genotype4_cntrl_rep3,1,2
genotype4_treat_rep1,2,2
genotype4_treat_rep2,2,2
genotype4_treat_rep3,2,2
genotype5_cntrl_rep1,1,2
genotype5_cntrl_rep2,1,2
genotype5_cntrl_rep3,1,2
genotype5_treat_rep1,2,2
genotype5_treat_rep2,2,2
genotype5_treat_rep3,2,2
genotype6_cntrl_rep1,1,1
genotype6_cntrl_rep2,1,1
genotype6_cntrl_rep3,1,1
genotype6_treat_rep1,2,1
genotype6_treat_rep2,2,1
genotype6_treat_rep3,2,1
