gene,logFC,logCPM,PValue,FDR
Dmagna014592-T1,3.47709158440461,5.06111879044352,1.48056753880279e-17,1.03451134623792e-13
Dmagna032206-T1,-4.6140552748201,3.83659607978208,1.54462313734665e-17,1.03451134623792e-13
Dmagna013835-T1,2.93580642528949,0.887928041918356,1.54429482370653e-12,6.89527638784966e-09
Dmagna009953-T1,-3.54823712061268,13.6343373523117,2.45034342561079e-12,8.20558754651415e-09
Dmagna034032-T1,-4.04459752745699,1.47373550319614,2.66818209381388e-11,7.14805982932739e-08
Dmagna016630-T1,2.84102644141997,4.05890536054046,5.56139834202488e-10,1.24158217985705e-06
Dmagna034068-T1,-7.46403401896453,0.235536497307944,1.95039493948733e-09,3.73222003063326e-06
Dmagna014580-T2,-2.8176214974081,2.15394832660157,2.30730735441954e-09,3.86329775155622e-06
Dmagna033906-T1,2.82816276220329,1.08092829895921,3.58109583011345e-09,5.32986429381885e-06
Dmagna010626-T1,-4.69510319999525,2.22152714487072,3.95932843550502e-08,4.31955726284308e-05
Dmagna021090-T1,-4.59489929165863,0.704257834718278,4.04402123001369e-08,4.31955726284308e-05
Dmagna022592-T1,1.39511061747783,3.72933347736129,4.14494845319916e-08,4.31955726284308e-05
Dmagna012718-T1,2.44204467160079,0.921216580412652,4.19217950107951e-08,4.31955726284308e-05
Dmagna000170-T1,3.20227462797578,0.799913805828036,6.39810054018243e-08,6.10869612585493e-05
Dmagna017129-T1,-2.01097768515924,3.43628521809479,6.84064515773228e-08,6.10869612585493e-05
Dmagna022749-T1,-2.99432127832575,3.0106317031416,7.46071549919261e-08,6.24601775698031e-05
Dmagna019294-T1,2.69059105334142,3.38195370100622,3.92631054483182e-07,0.000309370174988366
Dmagna018918-T1,2.54640119208084,3.82186367329337,6.61630768942867e-07,0.000492363563888317
Dmagna019699-T1,-3.69458983198635,7.98275032901073,1.16827425751469e-06,0.000823633351547857
Dmagna010854-T1,-3.75328015037257,2.57443125619351,1.38744157700119e-06,0.000929238996196545
Dmagna018769-T1,-3.21052359677228,7.56436506068007,1.47648304230264e-06,0.000941785254840182
Dmagna023576-T1,-2.34251912904897,8.17539454055627,1.64887210353891e-06,0.00100393826485926
Dmagna024308-T1,-2.56053610857091,4.27695893076861,2.94491948395931e-06,0.00171509549946239
Dmagna007256-T1,-4.50094162927259,7.31737237153103,4.69025710627602e-06,0.0025498097136295
Dmagna024156-T1,1.68449411605352,4.57706301827939,4.75888337743467e-06,0.0025498097136295
Dmagna018583-T1,1.68522133771137,1.97585159502188,5.80760128513464e-06,0.00299203150824533
Dmagna009000-T1,2.44630358080974,0.926092923521595,8.37524456089619e-06,0.0041550518849335
Dmagna009857-T1,-3.00679675007056,3.12636786582057,9.22748975569766e-06,0.00441436518848465
Dmagna001897-T1,-2.02493869926831,4.1111655753174,1.12467283976441e-05,0.00516281123163643
Dmagna018248-T1,-2.52545854099045,5.62003376875323,1.15628471033291e-05,0.00516281123163643
Dmagna002895-T1,-4.15169655722232,1.76544255786266,1.27275943009006e-05,0.00545179251005571
Dmagna026666-T1,2.06467795796624,3.72776095780852,1.30240657201779e-05,0.00545179251005571
Dmagna024147-T1,1.71628902040985,2.89609195876209,1.73896611914004e-05,0.00705862156541844
Dmagna028828-T1,-1.43964878999844,2.50970055714735,1.88665851577745e-05,0.00743287965259968
Dmagna001099-T1,1.76045069923817,1.74945638932855,2.17382424982668e-05,0.00820242513040475
Dmagna026036-T1,-1.59549379278028,3.58598062354672,2.20445916158694e-05,0.00820242513040475
Dmagna023578-T1,-2.04979848387889,2.41595370427763,2.91604281918413e-05,0.010485760275396
Dmagna017403-T1,1.33719881919184,2.38892246659867,2.9746837660698e-05,0.010485760275396
Dmagna032509-T1,1.12176875206201,5.28532601078681,3.59486962804115e-05,0.0123469945301567
Dmagna008313-T1,1.42586694291344,1.15353772964552,3.7989128423781e-05,0.0127216093809137
Dmagna028536-T1,5.08065206841032,2.61242229824348,3.9052308449546e-05,0.0127266289812156
Dmagna024227-T1,-2.57923512399164,4.32740216976553,4.07278650387214e-05,0.0127266289812156
Dmagna032284-T1,0.994417147046315,4.13277442844328,4.08544267407442e-05,0.0127266289812156
Dmagna030853-T1,-2.54880433691777,10.1895351964076,4.55546543808894e-05,0.0138682862598185
Dmagna009587-T1,3.55425208444922,4.67102779420172,5.27932395952673e-05,0.0154939721061928
Dmagna019291-T1,1.40091288744823,4.20695200847571,5.32081162288071e-05,0.0154939721061928
Dmagna025468-T1,-4.89283803032837,3.06829792482271,5.79641620500958e-05,0.0165197861842773
Dmagna025469-T1,-4.18253749186236,0.0317376528869319,6.20428669218542e-05,0.0173138375503799
Dmagna032203-T1,2.33150344767055,0.460656014816238,6.6037103662571e-05,0.0180523878277579
Dmagna012591-T1,-1.84775056179369,4.17971019518436,7.63875630175357e-05,0.0204642281323978
Dmagna028592-T1,2.08505468281316,2.01632195793712,9.33208010021423e-05,0.0245104339102685
Dmagna013343-T1,3.69284834304869,1.09933587679438,9.57203883363012e-05,0.0246572038800914
Dmagna023144-T1,-2.64209356517169,5.30897551236416,9.91982766141313e-05,0.0250709606650243
Dmagna031493-T1,-1.53642177765919,5.95384949162677,0.000103110941568486,0.0255772418946271
Dmagna032131-T1,-2.21656641224103,8.0572242314621,0.000111919777688635,0.0272575531298049
