gene,color,number
gene-ATP6,turquoise,1
gene-ATP8,turquoise,1
gene-COX1,turquoise,1
gene-COX2,turquoise,1
gene-COX3,turquoise,1
gene-LOC124188262,turquoise,1
gene-LOC124188263,turquoise,1
gene-LOC124188264,turquoise,1
gene-LOC124188265,turquoise,1
gene-LOC124188266,turquoise,1
gene-LOC124188268,turquoise,1
gene-LOC124188269,turquoise,1
gene-LOC124188273,turquoise,1
gene-LOC124188276,turquoise,1
gene-LOC124188277,turquoise,1
gene-LOC124188280,turquoise,1
gene-LOC124188287,turquoise,1
gene-LOC124188290,turquoise,1
gene-LOC124188294,turquoise,1
gene-LOC124188295,turquoise,1
gene-LOC124188296,turquoise,1
gene-LOC124188298,turquoise,1
gene-LOC124188299,turquoise,1
gene-LOC124188301,turquoise,1
gene-LOC124188302,turquoise,1
gene-LOC124188304,turquoise,1
gene-LOC124188310,turquoise,1
gene-LOC124188311,turquoise,1
gene-LOC124188312,turquoise,1
gene-LOC124188314,turquoise,1
gene-LOC124188317,turquoise,1
gene-LOC124188322,turquoise,1
gene-LOC124188323,turquoise,1
gene-LOC124188325,turquoise,1
gene-LOC124188326,turquoise,1
gene-LOC124188327,turquoise,1
gene-LOC124188330,turquoise,1
gene-LOC124188332,turquoise,1
gene-LOC124188333,turquoise,1
gene-LOC124188336,turquoise,1
gene-LOC124188338,turquoise,1
gene-LOC124188339,turquoise,1
gene-LOC124188341,turquoise,1
gene-LOC124188343,turquoise,1
gene-LOC124188344,turquoise,1
gene-LOC124188345,turquoise,1
gene-LOC124188346,turquoise,1
gene-LOC124188350,turquoise,1
gene-LOC124188351,turquoise,1
gene-LOC124188352,turquoise,1
gene-LOC124188362,turquoise,1
gene-LOC124188363,turquoise,1
gene-LOC124188364,turquoise,1
gene-LOC124188365,turquoise,1
gene-LOC124188366,turquoise,1
gene-LOC124188367,turquoise,1
gene-LOC124188369,turquoise,1
gene-LOC124188370,turquoise,1
gene-LOC124188372,turquoise,1
gene-LOC124188376,turquoise,1
gene-LOC124188377,turquoise,1
gene-LOC124188381,turquoise,1
gene-LOC124188383,turquoise,1
gene-LOC124188385,turquoise,1
gene-LOC124188386,turquoise,1
gene-LOC124188398,turquoise,1
gene-LOC124188399,turquoise,1
gene-LOC124188400,turquoise,1
gene-LOC124188401,turquoise,1
gene-LOC124188403,turquoise,1
gene-LOC124188404,turquoise,1
gene-LOC124188406,turquoise,1
gene-LOC124188407,turquoise,1
gene-LOC124188408,turquoise,1
gene-LOC124188415,turquoise,1
gene-LOC124188416,turquoise,1
gene-LOC124188425,turquoise,1
gene-LOC124188429,turquoise,1
gene-LOC124188439,turquoise,1
gene-LOC124188442,turquoise,1
gene-LOC124188444,turquoise,1
gene-LOC124188446,turquoise,1
gene-LOC124188448,turquoise,1
gene-LOC124188453,turquoise,1
gene-LOC124188454,turquoise,1
gene-LOC124188455,turquoise,1
gene-LOC124188458,turquoise,1
gene-LOC124188459,turquoise,1
gene-LOC124188462,turquoise,1
gene-LOC124188463,turquoise,1
gene-LOC124188464,turquoise,1
gene-LOC124188465,turquoise,1
gene-LOC124188466,turquoise,1
gene-LOC124188467,turquoise,1
gene-LOC124188471,turquoise,1
gene-LOC124188474,turquoise,1
gene-LOC124188477,turquoise,1
gene-LOC124188479,turquoise,1
gene-LOC124188480,turquoise,1
gene-LOC124188481,turquoise,1
gene-LOC124188485,turquoise,1
gene-LOC124188495,turquoise,1
gene-LOC124188499,turquoise,1
gene-LOC124188502,turquoise,1
gene-LOC124188503,turquoise,1
gene-LOC124188505,turquoise,1
gene-LOC124188506,turquoise,1
gene-LOC124188509,turquoise,1
gene-LOC124188512,turquoise,1
gene-LOC124188516,turquoise,1
gene-LOC124188520,turquoise,1
gene-LOC124188521,turquoise,1
gene-LOC124188522,turquoise,1
gene-LOC124188523,turquoise,1
gene-LOC124188524,turquoise,1
gene-LOC124188525,turquoise,1
gene-LOC124188526,turquoise,1
gene-LOC124188529,turquoise,1
gene-LOC124188530,turquoise,1
gene-LOC124188531,turquoise,1
gene-LOC124188533,turquoise,1
gene-LOC124188537,turquoise,1
gene-LOC124188540,turquoise,1
gene-LOC124188543,turquoise,1
gene-LOC124188549,turquoise,1
gene-LOC124188553,turquoise,1
gene-LOC124188556,turquoise,1
gene-LOC124188558,turquoise,1
gene-LOC124188561,turquoise,1
gene-LOC124188564,turquoise,1
gene-LOC124188565,turquoise,1
gene-LOC124188566,turquoise,1
gene-LOC124188567,turquoise,1
gene-LOC124188571,turquoise,1
gene-LOC124188575,turquoise,1
gene-LOC124188580,turquoise,1
gene-LOC124188581,turquoise,1
