logFC,logCPM,PValue,FDR,,
BJP76_RS10615,9.787999859,11.24316359,2.56E-25,2.39E-23,
BJP76_RS18340,9.115979949,8.960993599,4.50E-18,1.48E-16,
BJP76_RS17845,9.026240018,10.53865522,1.41E-22,8.75E-21,
BJP76_RS17850,8.996579754,12.08368544,1.77E-13,2.71E-12,
BJP76_RS12375,8.81905025,11.40612873,1.22E-49,7.48E-47,
BJP76_RS10620,8.678257275,11.8853148,1.19E-17,3.57E-16,
BJP76_RS10605,8.5207401,10.3234661,5.82E-28,8.03E-26,
BJP76_RS11430,8.147523095,6.810024315,2.16E-19,8.40E-18,
BJP76_RS10595,7.530367527,10.43770647,6.39E-16,1.44E-14,
BJP76_RS08335,7.300998578,8.501401351,1.58E-14,2.86E-13,
BJP76_RS10555,7.240819054,11.75958695,4.30E-16,1.01E-14,
BJP76_RS10915,7.024261185,7.120310977,9.36E-15,1.75E-13,
BJP76_RS04430,7.009349269,8.564312793,6.62E-16,1.48E-14,
BJP76_RS10625,6.988207221,10.48316035,2.08E-24,1.68E-22,
BJP76_RS10610,6.961483839,11.16141039,4.56E-13,6.40E-12,
BJP76_RS10600,6.926922457,9.867724378,2.12E-26,2.26E-24,
BJP76_RS08340,6.850248892,7.344941485,6.69E-15,1.30E-13,
BJP76_RS12380,6.672355321,9.940822947,2.28E-61,2.44E-58,
BJP76_RS05345,6.324244796,9.692381805,4.46E-33,8.68E-31,
BJP76_RS04425,6.206339929,8.088220842,9.52E-17,2.46E-15,
BJP76_RS18345,6.045928325,8.31553017,1.43E-08,9.72E-08,
BJP76_RS05340,5.902888931,9.977481094,6.40E-30,9.44E-28,
BJP76_RS23750,5.733904591,7.892707382,3.04E-27,4.07E-25,
BJP76_RS10270,5.733399112,8.671605813,5.10E-43,2.18E-40,
BJP76_RS21595,5.616246156,6.8294612,1.97E-16,4.86E-15,
BJP76_RS22425,5.564830593,7.393308132,1.51E-38,4.03E-36,
BJP76_RS08775,5.482708273,6.589736025,4.68E-31,8.02E-29,
BJP76_RS08320,5.380540914,5.179823949,5.26E-65,1.13E-61,
BJP76_RS13220,5.352191219,9.116241392,3.61E-34,8.13E-32,
BJP76_RS10920,5.331925243,8.342739485,1.63E-10,1.54E-09,
BJP76_RS08205,5.287783291,9.838614836,7.02E-12,8.16E-11,
BJP76_RS20025,5.218445529,4.642305769,5.26E-44,2.81E-41,
BJP76_RS13215,5.09325654,11.19538499,1.10E-33,2.25E-31,
BJP76_RS13210,5.068168656,11.93878966,1.78E-42,6.93E-40,
BJP76_RS00945,5.035053876,5.701357979,6.17E-34,1.32E-31,
BJP76_RS22460,5.019951002,4.641091923,3.06E-15,6.36E-14,
BJP76_RS09995,5.001766496,12.31343918,9.62E-62,1.37E-58,
BJP76_RS00940,4.962989888,7.188099835,7.03E-23,4.60E-21,
BJP76_RS22120,4.91654755,6.601909564,6.36E-77,2.72E-73,
