Gene,logFC,logCPM,PValue,FDR
Dmagna014579-T1,4.50441347177967,1.52605332664384,1.0260433871292E-22,1.55035155795222E-18
Dmagna032206-T1,4.64794582315534,3.87531398697629,2.51264539602563E-20,1.89830359669736E-16
Dmagna010626-T1,4.64257606701628,2.38214816785862,1.59387320818873E-19,8.02780805857722E-16
Dmagna014592-T1,-3.43631669883776,5.02295239088442,1.43931560970751E-18,5.43701471567013E-15
Dmagna034032-T1,4.06979954884068,1.58806667005793,5.45414397243537E-17,1.64824230846997E-13
Dmagna034068-T1,7.48634024454106,0.350479161754368,8.18408270531987E-17,2.06102482795639E-13
Dmagna033906-T1,-2.75224240770827,0.971110247474965,1.64269735351979E-14,3.54587957309772E-11
Dmagna009953-T1,3.58821678199991,13.5848599990086,3.98634659773466E-14,7.52921213647135E-11
Dmagna013835-T1,-2.89625265233833,0.86046764195191,4.75669119065214E-14,7.98595598786154E-11
Dmagna021090-T1,4.57988552186522,0.863417104075582,6.39202904826917E-14,9.65835589193471E-11
Dmagna014580-T2,2.85754195558984,2.22459554983731,5.86721362296423E-13,8.05941798572632E-10
Dmagna016630-T1,-2.79685284055037,3.96952057669715,8.54383483871667E-13,1.07581120344174E-09
Dmagna007256-T1,4.54673767613007,7.61588930644313,1.01288965656947E-12,1.17728943928959E-09
Dmagna013839-T1,-1.80071766848427,1.55684787430831,5.84966840738126E-11,6.31346354539506E-08
Dmagna022749-T1,3.02430872640836,2.98561827299224,4.88960670069421E-10,4.92546381649931E-07
Dmagna022592-T1,-1.36121953447331,3.71627627518434,3.1226785067602E-09,2.94897951482167E-06
Dmagna017129-T1,2.03761740907035,3.43080063221517,1.16841756602947E-08,1.03851702486501E-05
Dmagna000170-T1,-3.15089541411821,0.790275751428879,1.44638818636232E-08,1.21416252755193E-05
Dmagna012718-T1,-2.40509121076189,0.90210543096362,3.78069272063258E-08,3.00664563203991E-05
Dmagna014577-T1,1.64401618700603,3.07134622610423,5.7204594043486E-08,4.32180707998537E-05
Dmagna033349-T1,3.16518070841305,0.38538221771884,6.82875681984319E-08,4.86634499466595E-05
Dmagna032327-T1,4.72758714885352,2.21629474171532,7.08534678243883E-08,4.86634499466595E-05
Dmagna023576-T1,2.3767025957023,8.12770742651341,1.21734808084027E-07,7.66245228525763E-05
Dmagna010854-T1,3.80045547265571,2.53672328975823,1.22344828761005E-07,7.66245228525763E-05
Dmagna019699-T1,3.79712265636372,8.05299287944264,1.26777833971834E-07,7.66245228525763E-05
Dmagna023577-T1,3.60105591622623,1.0609965663907,1.81044734909392E-07,0.000105214844018497
Dmagna001174-T1,-2.03010242758874,2.29772476017056,1.92560756125032E-07,0.000107762704631453
Dmagna031390-T1,-2.49560161496937,0.824120328432896,2.24739560647575E-07,0.000121279098620888
Dmagna018769-T1,3.24684952001473,7.51772660277531,3.07568979058061E-07,0.000160254043916114
Dmagna022947-T1,-1.55271161674031,2.43531805444756,3.84474973190799E-07,0.000193647228163766
Dmagna018918-T1,-2.50837786250135,3.80346088493743,4.72742183921555E-07,0.000228456967141137
Dmagna019294-T1,-2.64632660561563,3.35866605608497,4.83826800034175E-07,0.000228456967141137
Dmagna002895-T1,4.185294309399,1.93876570397536,6.69850882999263E-07,0.000306710510367238
Dmagna024308-T1,2.60707291225203,4.32354315136049,6.97901985955716E-07,0.00030930194594162
Dmagna009857-T1,3.05052601862492,3.25708630530501,7.16450569686083E-07,0.00030930194594162
Dmagna028828-T1,1.46823452907771,2.48637317140649,7.76169332794878E-07,0.000325775517181406
Dmagna026036-T1,1.62662300963899,3.59912330206888,9.24701802905717E-07,0.0003776282227542
Dmagna031470-T1,-1.25212307952645,2.89222790652546,9.66100207563956E-07,0.000384151950955036
Dmagna023144-T1,2.68411555693413,5.16822445269552,1.00663402230506E-06,0.000390006155821268
Dmagna024150-T1,-1.35767775448051,2.75193448322882,1.12292743280429E-06,0.00042418583774182
Dmagna000945-T1,5.89753751372662,4.93643994219347,1.3154408092599E-06,0.000484788064095537
Dmagna026666-T1,-2.02320851815734,3.67752100575535,1.47543064902673E-06,0.00053080374063795
Dmagna009000-T1,-2.32808677559022,0.612385319103563,1.71730432459992E-06,0.000603452752202438
Dmagna001897-T1,2.05306493957215,4.17599690845731,1.80038497531744E-06,0.000618268567660148
Dmagna027012-T1,4.4085642086177,1.94866327555173,2.16962153608135E-06,0.000728510698004206
Dmagna025468-T1,4.91666737686622,3.19565482793311,2.77389271603713E-06,0.00091116345520263
Dmagna024156-T1,-1.64128624497302,4.57428133091552,3.13601050158957E-06,0.0010081940144472
Dmagna024147-T1,-1.66876246959903,2.89434828518882,3.84599387697749E-06,0.00118619318725729
Dmagna017403-T1,-1.307389322209,2.40902833276898,3.84668869461331E-06,0.00118619318725729
Dmagna018248-T1,2.56223729278388,5.53076849246756,3.97141535961726E-06,0.00120016172167634
Dmagna011158-T1,1.33977491171122,0.799326235285629,4.59683979584626E-06,0.00136192645716151
Dmagna026883-T1,3.35945942837391,3.44529291558909,6.07001853265619E-06,0.00176380730823913
Dmagna031493-T1,1.57549937011633,5.91883330404402,6.77552666725081E-06,0.00192460360354405
Dmagna018583-T1,-1.63390191826587,1.99959207968807,6.87813332835066E-06,0.00192460360354405
