sample,treatment,genotype
genotype1_VIS_Pool1,1,1
genotype1_VIS_Pool2,1,1
genotype1_VIS_Pool3,1,1
genotype1_UV_Pool1,2,1
genotype1_UV_Pool2,2,1
genotype1_UV_Pool3,2,1
genotype2_VIS_Pool1,1,2
genotype2_VIS_Pool2,1,2
genotype2_VIS_Pool3,1,2
genotype2_UV_Pool1,2,2
genotype2_UV_Pool2,2,2
genotype2_UV_Pool3,2,2
genotype3_VIS_Pool1,1,3
genotype3_VIS_Pool2,1,3
genotype3_VIS_Pool3,1,3
genotype3_UV_Pool1,2,3
genotype3_UV_Pool2,2,3
genotype3_UV_Pool3,2,3
genotype4_VIS_Pool1,1,4
genotype4_VIS_Pool2,1,4
genotype4_VIS_Pool3,1,4
genotype4_UV_Pool1,2,4
genotype4_UV_Pool2,2,4
genotype4_UV_Pool3,2,4
