"genotype1_cntrl_rep1","genotype1_cntrl_rep2","genotype1_cntrl_rep3","genotype1_treat_rep1","genotype1_treat_rep2","genotype1_treat_rep3","genotype2_cntrl_rep1","genotype2_cntrl_rep2","genotype2_cntrl_rep3","genotype2_treat_rep1","genotype2_treat_rep2","genotype2_treat_rep3","genotype3_cntrl_rep1","genotype3_cntrl_rep2","genotype3_cntrl_rep3","genotype3_treat_rep1","genotype3_treat_rep2","genotype3_treat_rep3","genotype4_cntrl_rep1","genotype4_cntrl_rep2","genotype4_cntrl_rep3","genotype4_treat_rep1","genotype4_treat_rep2","genotype4_treat_rep3","genotype5_cntrl_rep1","genotype5_cntrl_rep2","genotype5_cntrl_rep3","genotype5_treat_rep1","genotype5_treat_rep2","genotype5_treat_rep3","genotype6_cntrl_rep1","genotype6_cntrl_rep2","genotype6_cntrl_rep3","genotype6_treat_rep1","genotype6_treat_rep2","genotype6_treat_rep3"
"gene-ATP6",11849.2936988966,12500.189437331,12117.7340692003,12110.2048749104,10987.4665929407,13700.8795085761,9180.45826537159,8699.43867680967,10219.569202122,9794.89969480686,11364.2275689606,10445.8066142429,11337.4609968471,12763.1191228561,12383.4838143678,12646.9408399609,13362.7414275769,10102.9000977469,13897.3028747883,11873.6574224656,12586.8810231996,13841.3206849821,11924.083662233,12434.1678169527,54457.2482983637,42993.6163431149,46043.9028041565,47155.7746553133,47348.2179788458,48922.1764959537,25704.1930189047,21577.681311693,20616.5524625908,19306.2131315432,21358.9410471423,23127.9775235148
"gene-ATP8",3693.35935487075,3158.47747656995,3000.2162946631,3352.03143604556,3028.52271680029,3229.34781248827,2561.43781411347,2607.92800595826,2667.02873602235,3467.55224586958,3882.87891452811,2634.50743625845,3090.54969012821,2471.99129070001,2977.59233826117,3278.91725966234,3103.3417777332,2447.76265904323,4015.54854236192,2807.57312021274,2218.86093342956,3455.71023777258,2267.97187189733,2711.9425174537,2273.73634923156,2377.11534967128,2443.7971886873,3357.49874779216,2887.46062553692,2930.57468569586,325.696445173953,536.400586169713,292.115183110359,324.284048693889,255.679126589721,337.379953813848
"gene-COX1",94116.9526318699,90370.0758551647,86580.6604662196,94292.4990896682,90644.8714404202,96248.6394515269,88547.1534187619,87339.4137396879,85097.6132517384,92132.3272139649,102545.115272426,104130.674028122,87071.5222405223,96702.3266308053,87606.5943591806,102065.020231617,99026.8913254398,79797.6761591598,96066.4846727811,93866.9449815748,90720.1757854875,105984.353825305,100171.492807969,105031.273748884,123941.034383032,131652.869666757,129517.960798894,135263.754514539,144875.297155039,136796.714407124,90077.3062751805,88015.3178311721,80382.5213428525,78716.5591501646,82577.868570546,84787.0725308732
"gene-COX2",36106.2885486185,34558.7179951201,31701.122639074,38030.6452297499,31643.3969219427,36820.8204576447,29142.8652593752,27992.3951296469,29267.0035204779,30856.0576489409,35495.6523548733,33555.3861382486,27794.1554304418,35128.167508541,29248.4999765009,32632.2031533417,31993.7158570338,26578.7762413653,32283.0161029842,32141.4402081643,30102.3414983928,37350.622151041,33546.9471818562,33491.6038348285,54949.3073291541,46827.3850837501,49821.0541641202,49952.2842907231,53401.5445243929,51489.3599206233,40867.0125457697,36278.9283048083,33203.4268201617,33737.6074473717,37523.8320201117,38744.403661542
"gene-COX3",36998.2413912965,36509.2539021862,35276.9618274806,37252.1161024844,35212.1924246613,40470.8436026072,32704.494826227,31418.8698820008,33160.8654750706,33808.8872079783,35946.544948789,36850.8260118415,34821.7773111178,39413.7743546623,37844.9792947148,39218.3793777034,37355.2973795879,31749.3425599876,31751.2354081341,30352.5282455081,30810.9305828895,34598.6817789824,32102.7972200113,32798.1087302836,58108.5870003544,49473.5890966465,50457.7081607691,49660.1903355917,52456.1028713245,51274.1720079879,14874.4275203453,14406.7796610169,12969.7147340705,13084.4842903232,13229.1235397412,14627.5538596073
"gene-CYTB",28784.217681466,27698.8579380482,26203.0518479239,30333.5947046616,24604.8751267164,29861.693210394,30414.1148954001,29979.274586741,29274.2772352125,30345.3799341074,35337.8399470028,34924.8996304927,24896.672275497,29321.1455737794,26905.9045311415,31485.4541649226,29338.248364663,21810.0356224106,25744.5307413053,26172.4432498508,22828.7245550353,27522.4836762351,24291.2587900321,25593.9575084693,63245.0641346808,67894.7436359538,69182.2450854671,63029.0248596209,76063.735494516,68729.5121430455,27517.7626519438,30096.496806481,26418.9769189126,26570.1758222863,26977.3925141824,27378.1893554686
"gene-LOC124188262",0,0,0,0,0,0,0,0,0,0,0,1.5370521798474,0,0,1.04440278437782,0,0,0,0,0,0.769369255696795,0,0,1.10781965582259,23.6253508160929,27.8025187096057,34.5471160972287,29.5257427569662,29.5450516583865,33.4922821222385,15.7826471229669,13.8247573755081,14.954702207015,21.1161706126254,10.3829086939988,21.3286177698409
"gene-LOC124188263",3.74770101965575,2.6744093789754,5.2329353976682,1.11697148818579,1.15196756059349,1.56384881960691,1.18365887898035,2.37949635580133,4.84914315640426,2.02248599934067,1.73420228429125,3.0741043596948,2.97025438743701,2.46582672389029,1.04440278437782,0,0.993069368874624,2.04491450212467,6.04296244147769,1.78712483781842,4.61621553418077,3.07995564863866,1.64107950209648,0,9.77600723424535,11.9153651612596,18.9186588151491,26.3622703187199,19.3179183920219,15.9088340080633,12.9130749187911,13.8247573755081,14.954702207015,10.5580853063127,16.8722266277481,9.69482625901861
"gene-LOC124188264",1261.10139311416,1131.27516730659,1573.36924289891,1292.33601183096,1454.93502902958,1308.94146201098,1460.63505666175,1327.75896653714,1466.86580481229,1485.51596651572,1248.6256446897,1280.36446581289,1314.33756644088,1373.46548520689,1196.88559089699,1114.04702106879,1125.14759493495,1327.14951187891,1392.90284276061,1401.10587284964,1517.19617223408,1208.88259209067,1309.58144267299,1310.55065283812,575.969759550955,772.512841288329,917.966227726364,931.115387657185,628.400521811066,689.941011718112,1546.69941805076,1591.22957392098,1328.97453613006,1469.08215547836,1440.62858129233,1479.43048712624
"gene-LOC124188265",618.3706682432,586.587123788604,584.344452739616,691.405351187006,594.415261266243,775.669014525028,578.809191821391,523.489198276293,586.746321924916,571.352294813739,645.123249756345,570.246358723386,485.636592345951,649.74534174509,566.06630913278,590.815543463095,527.319834872425,542.924800314099,555.952544615947,573.667072939713,630.113420415675,694.529998768018,633.456687809241,628.133744851408,344.604255007149,281.004028386372,363.567269404169,291.039464318667,357.949664322759,350.831655230448,318.522514663514,301.379710786076,280.151421344747,342.383623504711,273.849216804219,319.929266547614
"gene-LOC124188266",62.7739920792339,49.9223084075408,59.306601173573,59.199488873847,61.0542807114552,46.9154645882073,53.2646495541157,73.7643870298413,80.0108620806703,69.7757669772531,74.5706982245237,58.4079828342013,56.4348333613032,45.6177943919703,74.1525976908254,74.1244593274731,61.5703008702267,53.1677770552413,49.8544401421909,48.2523706210974,38.4684627848397,40.0394234323026,31.1805105398331,49.8518845120165,35.8453598588996,45.675566451495,42.7726199299023,40.0706508844542,24.9996590955578,25.1192115916788,34.4348664501096,24.8845632759145,18.9426227955523,36.1991496216435,42.8294983627451,19.3896525180372
"gene-LOC124188267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62933453904089,0,1.6451007665347,0,0,0,0,0,0,0,0,0
"gene-LOC124188268",0,0,3.48862359844547,2.23394297637159,1.15196756059349,1.56384881960691,1.18365887898035,0,2.42457157820213,3.033728999011,0,3.0741043596948,1.48512719371851,1.23291336194514,2.08880556875565,0,1.98613873774925,0,0,3.57424967563684,0.769369255696795,0,3.28215900419296,0,1970.68012496996,1664.17933418925,2358.2519488275,3383.86101811088,1943.15532060926,2866.10204261056,926.871821948784,883.401996294965,238.278255165105,1226.24619343317,180.403038558229,818.243336261171
"gene-LOC124188269",0.936925254913939,0,0,0,0,0,0,0,2.42457157820213,1.01124299967033,0,1.5370521798474,1.48512719371851,0,0,0,0.993069368874624,0,1.51074061036942,1.78712483781842,0.769369255696795,0,0,1.10781965582259,1869.66138354942,1804.18487483405,2104.90643078115,2826.03537816677,1844.29303236774,2359.5312755117,855.132516844389,1014.73719136229,272.175580167672,1067.87491383848,212.849628226976,601.079228059154
"gene-LOC124188270",386.950130279457,445.7348964959,397.703090222783,546.199057722853,460.787024237397,306.514368642955,334.975462751439,316.473015321577,281.250303071447,311.462843898463,346.84045685825,418.078192918493,411.380232660026,388.36770901272,294.521585194546,444.746755964839,383.324776385605,543.947257565161,306.680343904993,300.236972753495,300.05400972175,224.836762350622,357.755331457032,329.022437779309,175.153462946896,246.250879999365,197.412091984164,264.677193999947,230.678672563556,187.556779884535,304.174653642635,319.351895374236,447.644086063314,357.466602513729,443.869346668449,312.173405540399
"gene-LOC124188271",1190.83199899562,1444.18106464671,1290.79073142482,1505.67756607445,1540.1806285135,1168.19506824636,1173.00594906953,1168.33271069845,1054.68863651793,1237.76143159649,1184.46016017092,1337.23539646724,1058.89568912129,1195.92596108679,901.319602918061,1271.0164643505,1288.01097143039,1606.28034141893,963.852509415691,950.7504137194,964.019677388084,1088.76432179377,1350.6084302254,1175.39665482777,813.852602250926,1085.29117677139,839.823941315965,1243.24466823083,1127.25735558151,1137.90028510305,892.436955498674,917.963889733735,1231.2704817109,1033.18406211774,1131.73704764587,1002.44503518252
"gene-LOC124188272",1345.42466605642,1878.32685383372,1662.32914465927,1831.8332406247,1704.91198967837,1154.1204288699,1278.35158929878,1204.02515603547,969.828631280853,1253.94131959122,1213.94159900387,1443.29199687671,1228.2001892052,1368.53383175911,999.493464649577,1294.99790707409,1229.41987866678,1576.62908113812,927.594734766825,1063.33927850196,986.331385803291,953.246273253665,1239.01502408284,1032.48791922665,913.24200913242,1030.67908644895,920.433878876166,1014.42016186434,953.396090053317,746.877891325918,915.393533132081,1005.05986119944,1499.45814129003,1184.01385220792,1165.48150090137,1080.00364525467
"gene-LOC124188273",7.49540203931151,6.2402885509426,1.74431179922273,6.70182892911476,2.30393512118699,4.69154645882073,3.55097663694105,0,7.2737147346064,4.04497199868134,10.4052137057475,3.0741043596948,5.94050877487402,4.93165344778057,3.13320835313347,4.36026231338077,11.9168324264955,2.04491450212467,10.575184272586,7.14849935127368,8.46306181266474,3.07995564863866,0,2.21563931164518,71.6907197177993,50.6403019353532,69.0942321944575,40.0706508844542,70.4535847238447,68.6591783505888,0,0,0,0,0,0
