LOC124194901	GO:0005730,GO:0030490
LOC124206286	GO:0006890,GO:0030173,GO:0005783,GO:0006621
LOC124190556	GO:0061575,GO:0045737,GO:0016301,GO:0016533
LOC124190357	GO:0006355
LOC124198912	GO:0005739,GO:0008203,GO:0006744,GO:0015039
LOC124199275	GO:0005102
LOC124196332	GO:0005737,GO:0016020,GO:0043231,GO:0001727,GO:0003951,GO:0017050,GO:0046512,GO:0046834
LOC124196369	GO:0005986,GO:0006094,GO:0046872,GO:0042132,GO:0006002,GO:0005829,GO:0006000,GO:0016311,GO:0030388
LOC124196320	GO:0004930,GO:0007186,GO:0016021,GO:0007166
LOC124188307	GO:0004930,GO:0007186,GO:0016021,GO:0007166
LOC124188882	GO:0003824,GO:0005515,GO:0009987
LOC124188924	GO:0016021,GO:0008168,GO:0032259
LOC124188903	GO:0045292,GO:0016020,GO:0005681,GO:0008080
LOC124188947	GO:0006457
LOC124188913	GO:0005634,GO:0005515,GO:0018024,GO:0034968
LOC124188896	GO:0005654,GO:0005813,GO:0005829,GO:0004842,GO:0005515,GO:0008270,GO:0006511,GO:0016567
LOC124192012	GO:0005634,GO:0005737,GO:0008270,GO:0016740,GO:0017136,GO:0070403,GO:0016575,GO:0031324,GO:0045595,GO:0048522,GO:0051171,GO:0051716,GO:0060255,GO:0080090
LOC124192022	GO:0005769,GO:0003779,GO:0034314,GO:0043014,GO:0071203
LOC124188956	GO:0000151,GO:0005634,GO:0005829,GO:0005886,GO:0016021,GO:0035861,GO:0005524,GO:0042393,GO:0046872,GO:0061630,GO:0006302,GO:0006511,GO:0070535,GO:0070936
LOC124192031	GO:0003676,GO:0015074
LOC124206866	GO:0016021,GO:0004842,GO:0016567
LOC124193810	GO:0051301,GO:0005524,GO:0008353,GO:0016592,GO:0051726,GO:0004693,GO:0006468
LOC124193801	GO:0016021
LOC124193784	GO:2001070,GO:0047389,GO:0046475,GO:0005737
LOC124193819	GO:0016787
LOC124192042	GO:0046872
LOC124192053	GO:0061608,GO:0005737,GO:0006607,GO:0008139,GO:0005654
LOC124192151	GO:0003676,GO:0008270
LOC124192159	GO:0003676,GO:0008270,GO:0015074
LOC124193843	GO:0016787
LOC124193869	GO:0016020,GO:0016491
LOC124193791	GO:0005737,GO:0005044,GO:0016021,GO:0006897
LOC124204290	GO:0000151,GO:0005634,GO:0005829,GO:0035861,GO:0042393,GO:0046872,GO:0061630,GO:0006302,GO:0006511,GO:0070535,GO:0070936
LOC124188382	GO:0005737,GO:0005044,GO:0016021,GO:0006897
LOC124189206	GO:0005929,GO:0030991,GO:0005515,GO:0035721,GO:0060271
LOC124189222	GO:0005783,GO:0016021,GO:0004169,GO:0005515,GO:0035269
LOC124189265	GO:0005764,GO:0005768,GO:0005795,GO:0005829,GO:0032154,GO:0045177,GO:0098793,GO:0003924,GO:0005525,GO:0001745,GO:0002786,GO:0006886,GO:0007112,GO:0007269,GO:0010883,GO:0032011,GO:0043001,GO:0045807,GO:0048488,GO:0061484,GO:1904801,GO:1990386
LOC124189291	GO:0005515
LOC124189307	GO:0016605,GO:0016925,GO:0016021,GO:0044389,GO:0031386
LOC124206993	GO:0005615,GO:0016020,GO:0004252,GO:0006508
LOC124200636	GO:0097352,GO:0005737
LOC124209993	GO:0016021
LOC124192169	GO:0000127,GO:0000775,GO:0005634,GO:0006383,GO:0007049,GO:0051301
LOC124210423	GO:0000775,GO:0005634,GO:0032133,GO:0051233,GO:0000070,GO:0051301
LOC124192173	GO:0030176,GO:0051267,GO:0006506
LOC124209595	GO:0005576,GO:0008061
LOC124210126	GO:0005737,GO:0005856,GO:0005524,GO:0035091,GO:0000281
LOC124209252	GO:0046872
LOC124210406	GO:0005634,GO:0005515,GO:0005524,GO:0016740,GO:0046872,GO:0000209,GO:0006281,GO:0016574
LOC124210434	GO:0016592,GO:0003712,GO:0006357
LOC124209775	GO:0005654,GO:0005813,GO:0005829,GO:0004842,GO:0008270,GO:0006511,GO:0016567
LOC124188295	GO:0005737,GO:0019005,GO:0031146
LOC124196066	GO:0005515,GO:0016070
LOC124192198	GO:0030176,GO:0051267,GO:0006506
LOC124196089	GO:0016021
LOC124192207	GO:0005201,GO:0005515
LOC124188501	GO:0000813,GO:0031902,GO:0015031,GO:0019075,GO:0042058,GO:0046755
LOC124188444	GO:0005524
