gene,color,number
Tcas000006,brown,1
Tcas000022,brown,1
Tcas000034,brown,1
Tcas000014,brown,1
Tcas000011,brown,1
Tcas000019,brown,1
Tcas000026,brown,1
Tcas000010,brown,1
Tcas000016,brown,1
Tcas000042,brown,1
Tcas000055,brown,1
Tcas000068,brown,1
Tcas000067,brown,1
Tcas000076,brown,1
Tcas000078,brown,1
Tcas000080,brown,1
Tcas000091,brown,1
Tcas000093,brown,1
Tcas000104,brown,1
Tcas000113,brown,1
Tcas000115,brown,1
Tcas000117,brown,1
Tcas000333,brown,1
Tcas000138,brown,1
Tcas001666,brown,1
Tcas000734,brown,1
Tcas000867,brown,1
Tcas001392,brown,1
Tcas000122,brown,1
Tcas001624,brown,1
Tcas000968,brown,1
Tcas001148,brown,1
Tcas000139,brown,1
Tcas001035,brown,1
Tcas000587,brown,1
Tcas000345,brown,1
Tcas000575,brown,1
Tcas001243,brown,1
Tcas000361,brown,1
Tcas000279,brown,1
Tcas001414,brown,1
Tcas001248,brown,1
Tcas001562,brown,1
Tcas000522,brown,1
Tcas000159,brown,1
Tcas001412,brown,1
Tcas001270,brown,1
Tcas001418,brown,1
Tcas000944,brown,1
Tcas001657,brown,1
Tcas000567,brown,1
Tcas001606,brown,1
Tcas000976,brown,1
Tcas001246,brown,1
Tcas001586,brown,1
Tcas001179,brown,1
Tcas000859,brown,1
Tcas000499,brown,1
Tcas001348,brown,1
Tcas001717,brown,1
Tcas001399,brown,1
Tcas000435,brown,1
Tcas001638,brown,1
Tcas001433,brown,1
Tcas000881,brown,1
Tcas001672,brown,1
Tcas000843,brown,1
Tcas001486,brown,1
Tcas001253,brown,1
Tcas000130,brown,1
Tcas000231,brown,1
Tcas000226,brown,1
Tcas000201,brown,1
Tcas001651,brown,1
Tcas001623,brown,1
Tcas001450,brown,1
Tcas000251,brown,1
Tcas000971,brown,1
Tcas000965,brown,1
Tcas000930,brown,1
Tcas001178,brown,1
Tcas000653,brown,1
Tcas001443,brown,1
Tcas000263,brown,1
Tcas001125,brown,1
Tcas001459,brown,1
Tcas001580,brown,1
Tcas000637,brown,1
Tcas001336,brown,1
Tcas000473,brown,1
Tcas000446,brown,1
Tcas000594,brown,1
Tcas001724,brown,1
Tcas001190,brown,1
Tcas000728,brown,1
Tcas000508,brown,1
Tcas001674,brown,1
Tcas000374,brown,1
Tcas001427,brown,1
Tcas000131,brown,1
Tcas001124,brown,1
Tcas000922,brown,1
Tcas000148,brown,1
Tcas000347,brown,1
Tcas000719,brown,1
Tcas000913,brown,1
Tcas001726,brown,1
Tcas001422,brown,1
Tcas001544,brown,1
Tcas001511,brown,1
Tcas001062,brown,1
Tcas000600,brown,1
Tcas000328,brown,1
Tcas001290,brown,1
Tcas000183,brown,1
Tcas000432,brown,1
Tcas000311,brown,1
Tcas000193,brown,1
Tcas001435,brown,1
Tcas000684,brown,1
Tcas000576,brown,1
Tcas000565,brown,1
Tcas000175,brown,1
Tcas001073,brown,1
Tcas000324,brown,1
Tcas000669,brown,1
Tcas000126,brown,1
Tcas000636,brown,1
Tcas001015,brown,1
Tcas000852,brown,1
Tcas000162,brown,1
Tcas000186,brown,1
Tcas001159,brown,1
Tcas000706,brown,1
Tcas001350,brown,1
Tcas001385,brown,1
Tcas000945,brown,1
Tcas001538,brown,1
Tcas001494,brown,1
Tcas000481,brown,1
Tcas001507,brown,1
Tcas000236,brown,1
Tcas000509,brown,1
Tcas000467,brown,1
Tcas001059,brown,1
Tcas000846,brown,1
Tcas000842,brown,1
Tcas001380,brown,1
Tcas001493,brown,1
Tcas001181,brown,1
Tcas001355,brown,1
Tcas000523,brown,1
Tcas000858,brown,1
Tcas000686,brown,1
Tcas000244,brown,1
Tcas000477,brown,1
Tcas001187,brown,1
Tcas001500,brown,1
Tcas001590,brown,1
Tcas000322,brown,1
Tcas000746,brown,1
Tcas000410,brown,1
Tcas001497,brown,1
Tcas001359,brown,1
Tcas000280,brown,1
Tcas000896,brown,1
Tcas001424,brown,1
Tcas001710,brown,1
Tcas001375,brown,1
Tcas001204,brown,1
Tcas001383,brown,1
Tcas000861,brown,1
Tcas000214,brown,1
Tcas000416,brown,1
Tcas000180,brown,1
Tcas000815,brown,1
Tcas000443,brown,1
Tcas001357,brown,1
Tcas001505,brown,1
Tcas000496,brown,1
Tcas000934,brown,1
Tcas000828,brown,1
Tcas000849,brown,1
Tcas000571,brown,1
Tcas000635,brown,1
Tcas000293,brown,1
Tcas001134,brown,1
Tcas000988,brown,1
Tcas000386,brown,1
Tcas000737,brown,1
Tcas001324,brown,1
Tcas000460,brown,1
Tcas001529,brown,1
Tcas000994,brown,1
Tcas001430,brown,1
Tcas000933,brown,1
Tcas000607,brown,1
Tcas001026,brown,1
Tcas000980,brown,1
Tcas000909,brown,1
Tcas001578,brown,1
Tcas001185,brown,1
Tcas000495,brown,1
Tcas000342,brown,1
Tcas000498,brown,1
Tcas001235,brown,1
Tcas001400,brown,1
Tcas001339,brown,1
Tcas001263,brown,1
Tcas000900,brown,1
Tcas000572,brown,1
Tcas000123,brown,1
Tcas001514,brown,1
Tcas000949,brown,1
Tcas000161,brown,1
Tcas001333,brown,1
Tcas001445,brown,1
Tcas001054,brown,1
Tcas000970,brown,1
Tcas001213,brown,1
Tcas000268,brown,1
Tcas001166,brown,1
Tcas000749,brown,1
Tcas000427,brown,1
Tcas000458,brown,1
Tcas000951,brown,1
Tcas000145,brown,1
Tcas000190,brown,1
Tcas000759,brown,1
Tcas000986,brown,1
Tcas001196,brown,1
Tcas001429,brown,1
Tcas001603,brown,1
Tcas000152,brown,1
Tcas001307,brown,1
Tcas000969,brown,1
Tcas001276,brown,1
Tcas000288,brown,1
Tcas000507,brown,1
Tcas000750,brown,1
Tcas001170,brown,1
Tcas000558,brown,1
Tcas001069,brown,1
Tcas001719,brown,1
Tcas000390,brown,1
Tcas000963,brown,1
Tcas000204,brown,1
Tcas001313,brown,1
Tcas000137,brown,1
Tcas001353,brown,1
Tcas001089,brown,1
Tcas000570,brown,1
Tcas001173,brown,1
Tcas001001,brown,1
Tcas000143,brown,1
Tcas001543,brown,1
Tcas001033,brown,1
Tcas000716,brown,1
Tcas001426,brown,1
Tcas001226,brown,1
Tcas000651,brown,1
Tcas000198,brown,1
Tcas001216,brown,1
Tcas000444,brown,1
Tcas001641,brown,1
Tcas000382,brown,1
Tcas000735,brown,1
Tcas000554,brown,1
Tcas001705,brown,1
Tcas001111,brown,1
Tcas001122,brown,1
Tcas000353,brown,1
Tcas001342,brown,1
Tcas001044,brown,1
Tcas000995,brown,1
Tcas000424,brown,1
Tcas000869,brown,1
Tcas000726,brown,1
Tcas000420,brown,1
Tcas000574,brown,1
Tcas000450,brown,1
Tcas000767,brown,1
Tcas000521,brown,1
Tcas000717,brown,1
Tcas000627,brown,1
Tcas001723,brown,1
Tcas001555,brown,1
Tcas000219,brown,1
Tcas001689,brown,1
Tcas000855,brown,1
Tcas000531,brown,1
Tcas000178,brown,1
Tcas000538,brown,1
Tcas000192,brown,1
Tcas000336,brown,1
Tcas000761,brown,1
Tcas000903,brown,1
Tcas001260,brown,1
Tcas001709,brown,1
Tcas001208,brown,1
Tcas001050,brown,1
Tcas000874,brown,1
Tcas000593,brown,1
Tcas001592,brown,1
Tcas001503,brown,1
Tcas000338,brown,1
Tcas000149,brown,1
Tcas000837,brown,1
Tcas000405,brown,1
Tcas000261,brown,1
Tcas000346,brown,1
Tcas000811,brown,1
Tcas000956,brown,1
Tcas000229,brown,1
Tcas000566,brown,1
Tcas000295,brown,1
Tcas000598,brown,1
Tcas000621,brown,1
Tcas000650,brown,1
Tcas001188,brown,1
Tcas000434,brown,1
Tcas000209,brown,1
Tcas000589,brown,1
Tcas001195,brown,1
Tcas001615,brown,1
Tcas000479,brown,1
Tcas001194,brown,1
Tcas001617,brown,1
Tcas000592,brown,1
Tcas001286,brown,1
Tcas000459,brown,1
Tcas000638,brown,1
Tcas000984,brown,1
Tcas000783,brown,1
Tcas000564,brown,1
Tcas000234,brown,1
Tcas000527,brown,1
Tcas000605,brown,1
Tcas000552,brown,1
Tcas000883,brown,1
Tcas000788,brown,1
Tcas000469,brown,1
Tcas000318,brown,1
Tcas000668,brown,1
Tcas001537,brown,1
Tcas000463,brown,1
Tcas000978,brown,1
Tcas001259,brown,1
Tcas001735,brown,1
Tcas000154,brown,1
Tcas000359,brown,1
Tcas000768,brown,1
Tcas000146,brown,1
Tcas001109,brown,1
Tcas000355,brown,1
Tcas000775,brown,1
Tcas000501,brown,1
Tcas000456,brown,1
Tcas000584,brown,1
Tcas000212,brown,1
Tcas001419,brown,1
Tcas000936,brown,1
Tcas000848,brown,1
Tcas000555,brown,1
Tcas001577,brown,1
Tcas001730,brown,1
Tcas000548,brown,1
Tcas000693,brown,1
Tcas000321,brown,1
Tcas000542,brown,1
Tcas001573,brown,1
Tcas000756,brown,1
Tcas001114,brown,1
Tcas000289,brown,1
Tcas000176,brown,1
Tcas000563,brown,1
