logFC,logCPM,PValue,FDR
Tcas000381,-5.86083371242767,3.42068409166722,1.61554847577943e-51,1.6142560369988e-47
Tcas007752,-3.86851433183221,6.59251098628021,5.97278697734215e-37,2.98400437388014e-33
Tcas000125,-4.01276223258462,4.69482480364165,3.58316348323427e-22,1.19343231748256e-18
Tcas005506,-2.74299498815645,7.65984387036084,2.01593949632753e-19,5.03581686182617e-16
Tcas004090,-2.48836358649165,6.9631509296579,1.66033876357605e-16,3.31802098513038e-13
Tcas004041,-3.36636767104366,5.78022751134104,2.78690260491062e-16,4.64112180471115e-13
Tcas011916,-3.36963508793793,3.38054762540743,1.62731532054805e-15,2.32287638327373e-12
Tcas007649,-2.32044451250493,4.58016393719749,4.11636706932672e-15,5.14134246958908e-12
Tcas006834,-2.36657130756351,5.92212538781818,1.03271978890241e-14,1.14654845896809e-11
Tcas007215,-2.48237792361687,4.7959705885872,1.186190358187e-14,1.18524140590045e-11
Tcas004296,-3.32864918813479,5.02604634463152,4.57860058255632e-14,4.15903427462753e-11
Tcas008044,-2.73525988590278,4.78551644860492,2.29637102795596e-12,1.91211160927799e-09
Tcas012119,-1.8071309059789,6.43018983998564,3.92889189447709e-12,3.01980675458577e-09
Tcas006459,-2.60579387947144,5.62690727622753,7.11736750108423e-12,5.0797668622024e-09
Tcas009515,-1.50090663770138,6.61058752818932,1.13370817986156e-11,7.55200808878445e-09
Tcas004264,-1.711594165644,5.67538514723533,1.72489426073514e-11,1.0771964658291e-08
Tcas011920,-1.80697694301063,8.28524077622005,6.50810308837111e-11,3.63353354759511e-08
Tcas012414,-1.69154409939137,6.57903754970866,6.54559686316173e-11,3.63353354759511e-08
Tcas008684,-1.55616632152989,5.26490282712242,7.67899184583649e-11,4.03834139597885e-08
Tcas011980,-1.56718964607731,5.08766491564108,1.93569013538474e-10,9.67070791638218e-08
Tcas003336,-1.99938374708851,5.5259997705915,6.01391173564495e-10,2.86147647916973e-07
Tcas002492,-1.77136428900452,2.93556940834502,6.72465421696338e-10,3.05421567890446e-07
Tcas011558,-1.61878191353971,9.83858050459431,2.56450503777463e-09,1.11411018858453e-06
Tcas012002,-1.26463013159389,5.40598590279782,5.66877940867012e-09,2.36010182714299e-06
Tcas008231,-1.60351195585412,5.85463696506187,7.38662306767396e-09,2.95228550768793e-06
Tcas009663,-1.15870332127444,5.25597686378881,8.72165941867079e-09,3.35180080428302e-06
Tcas012524,-4.17386051643832,1.16383187967502,1.11269492605813e-08,4.01013217487876e-06
Tcas000613,-1.09050420586536,5.44730364729047,1.12373599776426e-08,4.01013217487876e-06
Tcas005135,-0.996279224885939,5.4629513680218,1.60221422333929e-08,5.52045673089867e-06
Tcas002348,-1.44956565358199,9.25657402025131,3.28090906157416e-08,1.09276144477497e-05
Tcas000245,-1.15805842344995,6.66669844034147,3.85796461717077e-08,1.2435091114442e-05
Tcas007633,-1.53593417341204,7.12804715332327,4.72836791907551e-08,1.47643288273133e-05
Tcas004278,-2.16574422498546,10.5717025793076,2.36193605947826e-07,7.15165609282024e-05
Tcas012300,-1.71662271041085,4.73208680615686,2.75009015533964e-07,8.08202965651578e-05
Tcas004939,-1.47993460443262,6.24717266789686,3.20087198683691e-07,9.13803225499268e-05
Tcas000357,-1.9364725945146,5.04573503531522,3.45177819361328e-07,9.58060214182887e-05
Tcas009593,-2.10978130013411,3.20516644480431,3.63498037847517e-07,9.67410422688085e-05
Tcas003464,-1.06069945618311,7.1009411595386,3.67910288852554e-07,9.67410422688085e-05
Tcas005259,-1.91278577429422,11.1143600304619,5.24312200057275e-07,0.000134331474435187
Tcas007037,-1.10959440252822,6.82748186871003,6.11470448357053e-07,0.000152745317999592
Tcas001613,-1.27153828834436,6.0643926631963,6.54051510927752e-07,0.000159397138955856
Tcas012168,-1.36638439439593,8.92365939255017,6.97706546107841e-07,0.00016598770973118
Tcas003260,-1.21713688617557,8.54961704759407,7.29705120460463e-07,0.000169563106131185
Tcas002505,1.42102098269406,4.20085780798342,8.46942445003686e-07,0.000192332929783564
Tcas003695,-2.02586910576259,7.00542834337288,9.23283664460254e-07,0.000205010008339708
Tcas000442,1.17047513247863,5.15797218143298,1.10739474234591e-06,0.000240545397076528
Tcas001445,-1.68383895320126,7.44203566161208,1.4545151666019e-06,0.000309223734993324
Tcas005680,-1.19046017443928,5.28281210643438,1.81647085738879e-06,0.000378128683479766
Tcas007426,-1.26954930617563,5.61545669199916,2.07860888110239e-06,0.000417463416790616
Tcas011344,-1.22110111695239,6.23992723960271,2.08898827457274e-06,0.000417463416790616
Tcas012401,1.06493803374477,5.67630676190719,2.33549925952799e-06,0.000457574678454974
Tcas011154,-2.06104571256961,2.28428840758824,2.49545595905228e-06,0.00047951146043943
Tcas009707,-1.20526398731846,6.76048891869389,2.86844152576175e-06,0.000540782409913423
Tcas007810,-0.912668033155937,4.72940208964088,3.35431570610415e-06,0.000620672639544308
Tcas005749,-0.969896836840347,4.25777849570576,3.66512820958868e-06,0.000665853837640183
Tcas011443,-0.909353692556651,5.3130619685265,3.83688973932957e-06,0.00068461075491752
Tcas003936,1.05832963188892,3.39396256007543,5.0150373258369e-06,0.000868000296018625
Tcas011863,-1.13245021704162,8.68769903478137,5.03843246287833e-06,0.000868000296018625
Tcas008722,-1.46972871024265,2.48875107271694,5.41324411605256e-06,0.00089954751496519
Tcas007958,-1.85229606600615,5.63279873866262,5.45541930645905e-06,0.00089954751496519
Tcas005999,-0.856003837998648,6.41030428583773,5.4916331478059e-06,0.00089954751496519
Tcas005306,-1.44824472326948,4.9609531858006,5.60988552160037e-06,0.000904096389223079
Tcas000564,4.83021974725816,4.18541074982232,6.83448927442061e-06,0.00108397169571446
Tcas004589,1.36198718080144,4.27554876375572,7.0060421342769e-06,0.00109381832821398
Tcas004655,-1.41611321669494,5.56069773022488,8.27450992069302e-06,0.00127198312503946
Tcas004153,1.58129020038669,5.3166621184141,8.89080004070402e-06,0.00134601324252598
Tcas011646,-0.88416519809638,4.35023940750211,9.90712376039563e-06,0.00147749224796826
Tcas000454,0.931960429597754,3.45292321277908,1.01011276390326e-05,0.00148427157895903
Tcas012351,1.12400384086343,5.20089925980421,1.11295271540488e-05,0.00161168456990225
Tcas011487,-1.27143522988421,8.48338758763379,1.18127765378115e-05,0.00168618947379732
Tcas004737,-0.944751865464831,7.39915165537316,1.28294669135373e-05,0.00178074652709363
Tcas007432,0.790147576968863,5.37081647478551,1.2878457406901e-05,0.00178074652709363
Tcas009833,-1.05398535781235,7.4206050012556,1.30098575338105e-05,0.00178074652709363
Tcas000658,1.07244586297766,4.84541787369098,1.37503220631605e-05,0.00185666510885269
Tcas005381,1.18975334530815,2.93817498245058,1.44248668476914e-05,0.00192177692722843
Tcas007433,-1.76680743834038,6.34770587866886,1.97665610831963e-05,0.00259878260978023
Tcas004517,-1.21927019452291,6.52683114936167,2.0115754585685e-05,0.00261034571195019
Tcas006115,1.7312989293606,5.85016322916835,2.61302967430596e-05,0.00334735801354681
Tcas003545,-0.848695608027323,6.46723181780108,2.80411073300045e-05,0.00354666765115702
Tcas000715,1.29830987915447,3.98644499265177,3.53721230717972e-05,0.00441797817166747
Tcas005361,0.996289442338579,2.98633257276706,3.59635886397446e-05,0.00443639725541146
Tcas001272,1.23237973306239,4.57457473415838,4.38155432704422e-05,0.00533908424827145
Tcas000260,-1.10696661214607,7.04351648475291,6.12573347795434e-05,0.00737449745924335
Tcas008216,-0.970910195414795,5.186104903657,6.33736116894755e-05,0.00753844200001476
Tcas005879,-0.844950400657815,4.17922308541462,6.49279206719833e-05,0.0076324680394642
Tcas009042,-1.03492476368133,8.33020945626339,6.61476288857934e-05,0.00768543148635869
Tcas010260,-0.988959316422792,6.62935029704061,6.69631915380774e-05,0.00769076103274103
Tcas011747,-2.94939696807235,1.8798180365368,7.09701725482612e-05,0.00805834050116166
Tcas012206,1.88527751478528,4.24513320255747,7.70207255668583e-05,0.00864709089734886
Tcas008404,-1.39140532391283,5.9370693068081,8.28190583381387e-05,0.00919475589905202
Tcas009776,-1.1578192822974,9.52752542422568,8.51649174439083e-05,0.00935129511098386
Tcas003282,-2.28110490066346,6.12302967277577,9.600918552144e-05,0.0104274324101112
Tcas000748,-0.846862076398695,5.63450548775475,0.000101305501109947,0.0108843501837698
Tcas006418,-1.49984433309536,5.47537631121464,0.000110653988305815,0.0117622835228905
Tcas005872,-1.15408936625969,4.14373801830092,0.000112800367870449,0.011766014277095
Tcas005565,1.8620363097558,4.95010958406931,0.00011304417239803,0.011766014277095
Tcas002936,-0.858473748510696,4.58621817528262,0.00011665170621096,0.0120163283346383
Tcas006300,-0.925625355428499,6.79069975006852,0.000121848352703834,0.0124235585736399
Tcas006266,1.4672625751059,6.02901534970921,0.000124956306094073,0.0125479343224233
Tcas007594,2.83323684026046,5.12958960987745,0.000125579807069889,0.0125479343224233
Tcas002945,-0.968317373737265,5.34589208380834,0.00012844964356509,0.0127076122623998
Tcas005568,-1.07646943921567,6.04500688179151,0.000130186231947228,0.0127531453883991
Tcas005588,-0.678283022813871,5.68603766220241,0.000131835876111509,0.0127893599427787
Tcas008986,-0.829256870779766,6.8486065388135,0.000136217772659305,0.0130873844654978
Tcas004816,1.2573122747873,4.55012906986342,0.000142143065909755,0.0135266049006693
Tcas006179,-0.956070312771688,3.03128211081324,0.000145175033407844,0.0136848012623696
Tcas005596,-1.19311706647928,8.86319921382246,0.000149871187437604,0.0139954477091265
Tcas000114,-0.913520651825536,7.29520853197152,0.00016271237117613,0.0149255400761252
Tcas001925,1.6033840940989,1.36324496384628,0.000162818641743159,0.0149255400761252
Tcas011537,-0.925365936394757,7.93264233447738,0.000166209497143398,0.0150978663223348
Tcas000944,1.39301028537144,4.86329616295782,0.000167813182821295,0.0151062101148683
Tcas001732,1.21299938833336,6.05556116614555,0.000178476141400636,0.0157654573080109
Tcas001695,1.65560236450313,4.5818290007377,0.000179027932114589,0.0157654573080109
Tcas000800,2.39712420572377,6.30657996133757,0.000180438111701211,0.0157654573080109
Tcas012311,-1.00386987515612,4.10958772174965,0.000183026114346253,0.0157654573080109
Tcas010702,1.43195046820379,7.43479948426148,0.000183638420353711,0.0157654573080109
Tcas008385,-1.21388738996144,8.61663413558775,0.000184603533330392,0.0157654573080109
Tcas005205,-1.01190478141045,5.34061459989732,0.000191155490403759,0.0161866581365624
Tcas005278,-1.06178931491595,6.27313112872172,0.000200403611595583,0.0167731936385396
Tcas000700,-1.19224320397685,2.50930404628839,0.000202792358345222,0.0167731936385396
Tcas004226,-2.08062014113602,1.48422822566852,0.000203770903628762,0.0167731936385396
Tcas005176,-3.3833425312544,1.61012584411605,0.000204796799830047,0.0167731936385396
Tcas001054,-0.662270689943751,5.12933373058186,0.000213934139619528,0.0171821143737953
Tcas005065,-0.847654985889433,6.99039374652576,0.000215626970672889,0.0171821143737953
Tcas004584,-0.730170285172279,4.64758510082784,0.000216111541285898,0.0171821143737953
Tcas003676,-2.39230012567223,0.771533906072788,0.000218239806776061,0.0171821143737953
Tcas010706,2.16837033069311,3.03535058592325,0.000218400311122953,0.0171821143737953
Tcas008244,0.920585061456376,5.09545395656162,0.000220107149704344,0.0171821143737953
Tcas002013,2.34991120563505,0.946547357738799,0.000221880415028773,0.0171862721470349
Tcas009946,-1.18941286583702,3.85786719876043,0.000228288365144216,0.0175465949578539
Tcas012421,1.82822394707735,7.83842348785391,0.000232186719389403,0.0177099977109841
Tcas009523,-1.56906595099807,7.94226394024162,0.000240696946394028,0.0182200294573419
Tcas000116,-1.43320367002527,3.36930795771211,0.000283412125222495,0.021292135001678
Tcas011939,-0.975761715661802,7.12386180514102,0.000293218391563966,0.0218644639440832
Tcas006232,1.57902132060484,2.6154800902749,0.000319510836852765,0.0234772077982697
Tcas003909,2.84466931167356,6.28442614417238,0.000319545662586538,0.0234772077982697
Tcas003536,2.94712323205608,6.53681318132994,0.000327098834907243,0.0238567267035998
Tcas012075,1.91945143673274,4.17202927921997,0.000332050136305181,0.0240423547968215
Tcas004985,-0.941891808988726,5.04251764449335,0.000340570200421661,0.0244818521051312
Tcas000610,1.12189016392104,2.4660552531581,0.000346347570800371,0.0247193209102665
Tcas012355,-0.693920231763093,6.07053624042765,0.000358440682486814,0.0253815637001419
Tcas010655,-1.21184774590246,3.26828426624363,0.000360706769957982,0.0253815637001419
Tcas002138,-0.851549465077136,7.9307413040194,0.00037630420352879,0.0262939272843334
Tcas010344,-0.748748443497277,7.43442045778623,0.000386151856062132,0.0266430314231458
Tcas005082,2.20618124024376,7.79830328038902,0.000386633262245411,0.0266430314231458
Tcas005966,-0.919026936197262,7.25755737562062,0.000391698706256543,0.0268072155679136
Tcas012507,-0.765013756825535,3.89104773401394,0.000403650503786128,0.0274372505702789
Tcas002230,1.40749016939036,6.87172102202154,0.00041104199827503,0.0277204492395487
Tcas005550,1.61545706236218,5.38880253482163,0.000414986260425164,0.0277204492395487
Tcas004274,-0.908901774462605,6.92123369509316,0.000416139650313481,0.0277204492395487
Tcas003220,-1.97106011091221,2.64761510159708,0.000422738324966571,0.0279735188282515
Tcas010109,-2.03730707965097,3.8043878834049,0.000437678581103315,0.0287716077788442
Tcas006112,-1.15073712849317,7.03389357023444,0.000450584275774718,0.0294263927028822
Tcas000820,2.4833661192605,6.87504249818234,0.000476949465227902,0.0306733716201092
Tcas007310,1.01137819946151,4.47176206521375,0.000476970980345142,0.0306733716201092
Tcas011377,1.53489820603854,1.11722289164816,0.000478887707439654,0.0306733716201092
Tcas003563,-1.09679846059394,6.33047551731134,0.000483955159768874,0.0308005092765006
Tcas000895,0.818393086641444,3.16866127802775,0.000502936159549632,0.0318059373811388
Tcas012325,3.47362464884761,6.90654851552039,0.000520958580856429,0.0327384788674053
Tcas003042,-0.959579215108795,6.16468478802291,0.000549610892577864,0.0342523457224383
Tcas009484,-1.97005916461995,3.46549508300399,0.000551904289562907,0.0342523457224383
Tcas009722,1.01781637036069,6.14127532753371,0.000588341807787655,0.0362883416260139
Tcas001006,-0.819733120555075,7.40715406126247,0.000598892195579331,0.0367124590075379
Tcas000331,2.50724776022029,0.721175197985458,0.000604058849142495,0.0368033903697062
Tcas009937,0.998941424200667,5.85141614906842,0.000614895887073709,0.0372366042644879
Tcas004943,1.22548557774448,5.77879954984723,0.000620951327817243,0.0373767811298186
Tcas004167,-0.650480850506954,5.15021603473782,0.000644484191352818,0.0385609942514812
Tcas002458,1.51545805357005,1.25944069849452,0.000662634993160799,0.0394110050694209
Tcas011930,-2.12790594811722,11.2513434481138,0.000674252555690249,0.0398646836476744
Tcas007124,-1.53927121809551,7.8245902371024,0.000690063806866496,0.0405595150482943
Tcas012359,0.700395903008873,5.36524894405764,0.000726690560731373,0.042462526800163
Tcas005581,-0.738547084707364,4.612627359723,0.000736634491959154,0.0427933246724179
Tcas008723,-1.20693182820783,9.73895810801539,0.000741931486866903,0.0428519041432029
