logFC,logCPM,PValue,FDR
gene-LOC124189665,0.857523471246591,9.26007816953914,1.13168189957737e-10,1.38579855475071e-07
gene-LOC124188357,0.72456919051718,9.58632302030121,2.09335129116421e-10,1.38579855475071e-07
gene-LOC124190344,-1.34777263119081,5.27984063215324,3.73520388394442e-09,1.6484699807808e-06
gene-LOC124188875,0.587118594308833,9.99122809394046,1.02875932658768e-07,2.58126159519045e-05
gene-LOC124190549,0.983023586046988,8.03767469164491,1.11833073154973e-07,2.58126159519045e-05
gene-LOC124190063,-0.429105719102284,10.4894472789656,1.16975600990504e-07,2.58126159519045e-05
gene-LOC124188455,0.810208581730868,7.78567786328331,4.16450200584671e-07,7.87685807963007e-05
gene-LOC124190261,0.928508215402798,7.7100453246004,1.45811355824689e-06,0.00024131779388986
gene-LOC124190257,0.589810065363938,8.33142032650355,2.9900386537487e-06,0.000439867908618142
gene-LOC124188508,-0.721412179031103,11.3657709333229,3.43924011418265e-06,0.000455355391117783
gene-LOC124188324,0.861358302531294,8.19958020630313,5.19900977771907e-06,0.000625771722336368
gene-LOC124188334,1.02859913484428,6.84558274714389,6.16268626942414e-06,0.00065895083773755
gene-LOC124188328,1.24436218953849,8.08744155444882,6.50402277991719e-06,0.00065895083773755
gene-LOC124188785,0.459017669400464,9.0890588554371,6.96775810296503e-06,0.00065895083773755
gene-LOC124190807,2.20315383599479,8.25317447848954,8.44459417272345e-06,0.000745376178979057
gene-LOC124188382,-2.2261931567772,7.29603085975601,9.0262987969589e-06,0.000746926225448349
gene-LOC124190109,-2.61469729149546,6.31045825677609,9.80058002141591e-06,0.000763292232256156
gene-LOC124189949,-1.86486865998644,3.54570373200052,1.30684713781444e-05,0.000961258672481288
gene-LOC124188358,0.735446351889032,6.91306524278106,1.43445833540701e-05,0.000964809403749895
gene-LOC124188987,0.389131388663389,8.16164960855464,1.45741601774909e-05,0.000964809403749895
gene-LOC124188412,0.589176350466058,8.14804057366244,1.83367537238362e-05,0.00110027121517087
gene-LOC124189894,0.911751222910216,7.86571245435903,1.85451789815852e-05,0.00110027121517087
gene-LOC124189940,4.92418328026719,4.30672984986663,1.91134727710952e-05,0.00110027121517087
gene-LOC124189834,3.89454794227512,3.5310634440914,2.1278185145176e-05,0.00117384654717554
gene-LOC124189993,3.90131676455488,7.51732263380028,2.67175038865097e-05,0.00141495900582955
gene-LOC124190111,0.421778941638213,6.7455500979655,2.83848466794364e-05,0.00144544373090669
gene-LOC124190232,3.86712353164909,4.17712273340805,3.00988844207883e-05,0.00147596011011569
gene-LOC124189466,0.451084046034755,10.0840264149004,3.33838868332343e-05,0.00155746940614934
gene-LOC124190485,0.817600524748222,10.1957991895242,3.41137558748723e-05,0.00155746940614934
gene-LOC124189222,-0.590105154515405,8.67816665696469,4.01728344280686e-05,0.00177296109275876
gene-LOC124190645,0.673381977043027,8.76941810855077,5.12154018491863e-05,0.00218739329188137
gene-LOC124190371,0.468845907298002,9.24909899296804,5.74728588950327e-05,0.00229470558012502
gene-LOC124190762,-2.10002562364131,3.34294476548367,5.7505604535546e-05,0.00229470558012502
gene-LOC124190402,0.523607881855935,7.90146260435925,6.00582888109256e-05,0.00229470558012502
gene-LOC124188301,1.55762016896786,5.75334204439497,6.06606460002837e-05,0.00229470558012502
gene-LOC124190532,0.399158651595708,8.2131856464371,7.63402433909656e-05,0.0028076245069344
gene-LOC124188410,0.665527729888622,8.61250927589776,8.41297988476904e-05,0.00301048253173898
gene-LOC124190612,0.461931584464943,8.4178657228456,8.67771030021389e-05,0.00302349695723242
gene-LOC124188573,-0.40355406519032,10.8044165184854,9.05046335626482e-05,0.00307251627787042
