Gene	Terms
Dmagna006940-T1	GO:0001917
Dmagna006940-T1	GO:0005737
Dmagna006941-T1	GO:0030688
Dmagna006941-T1	GO:0006364
Dmagna006941-T1	GO:0005634
Dmagna006943-T1	GO:0140647
Dmagna006943-T1	GO:0051537
Dmagna006943-T1	GO:0005634
Dmagna006943-T1	GO:0000209
Dmagna006943-T1	GO:0016874
Dmagna006944-T1	GO:0016020
Dmagna006944-T1	GO:0071944
Dmagna006945-T1	GO:0016459
Dmagna006945-T1	GO:0030016
Dmagna006946-T1	GO:0008190
Dmagna006946-T1	GO:0045727
Dmagna006946-T1	GO:0003743
Dmagna006946-T1	GO:0003723
Dmagna006946-T1	GO:0006413
Dmagna006946-T2	GO:0008190
Dmagna006946-T2	GO:0045727
Dmagna006946-T2	GO:0034518
Dmagna006946-T2	GO:0005737
Dmagna006946-T2	GO:0003743
Dmagna006946-T2	GO:0003723
Dmagna006946-T2	GO:0006413
Dmagna006946-T2	GO:1901190
Dmagna006946-T3	GO:0008190
Dmagna006946-T3	GO:0045727
Dmagna006946-T3	GO:0034518
Dmagna006946-T3	GO:0005737
Dmagna006946-T3	GO:0003743
Dmagna006946-T3	GO:0003723
Dmagna006946-T3	GO:0006413
Dmagna006946-T3	GO:1901190
Dmagna006947-T1	GO:0004164
Dmagna006947-T1	GO:0017182
Dmagna006947-T1	GO:1900247
Dmagna006947-T1	GO:0032259
Dmagna006947-T1	GO:0044249
Dmagna006948-T1	GO:0061630
Dmagna006948-T1	GO:0006511
Dmagna006948-T1	GO:0016567
Dmagna006948-T1	GO:0046872
Dmagna006948-T1	GO:0009966
Dmagna006948-T1	GO:0016874
Dmagna006950-T1	GO:0061630
Dmagna006950-T1	GO:0008270
Dmagna006950-T1	GO:0016874
Dmagna006950-T1	GO:0016746
Dmagna006952-T1	GO:0016020
Dmagna006952-T1	GO:0004497
Dmagna006952-T1	GO:0005975
Dmagna006952-T1	GO:0030246
Dmagna006952-T1	GO:0005576
Dmagna006952-T1	GO:0004553
Dmagna006953-T1	GO:0016020
Dmagna006953-T2	GO:0016020
Dmagna006956-T1	GO:0016020
Dmagna006956-T1	GO:0004497
