qpid	goid	ontology	desc	ARGOT_RSscore	ARGOT_RSPPV	ARGOT_RSrank	goclasscount
BJP76_RS00010	0009360	CC	DNA polymerase III complex	9.351550793	0.748726035	1	100
BJP76_RS00010	0008408	MF	3'-5' exonuclease activity	8.193028339	0.720312733	1	100
BJP76_RS00010	0071897	BP	DNA biosynthetic process	6.425739587	0.672768098	1	100
BJP76_RS00010	0003887	MF	DNA-directed DNA polymerase activity	7.915962904	0.713224862	2	100
BJP76_RS00010	0006260	BP	DNA replication	5.993446976	0.660171634	2	100
BJP76_RS00010	0005737	CC	cytoplasm	2.015251783	0.510825287	8	100
BJP76_RS00010	0003677	MF	DNA binding	3.165822074	0.563050834	11	100
BJP76_RS00015	0003697	MF	single-stranded DNA binding	8.791868767	0.735233763	1	100
BJP76_RS00015	0009432	BP	SOS response	8.302190242	0.723072333	1	100
BJP76_RS00015	0005737	CC	cytoplasm	2.015249476	0.510825169	1	100
BJP76_RS00015	0005524	MF	ATP binding	2.988571501	0.555714287	3	100
BJP76_RS00015	0006260	BP	DNA replication	5.993440117	0.66017143	5	100
BJP76_RS00015	0006281	BP	DNA repair	5.39627879	0.641998031	7	100
BJP76_RS00015	0016887	MF	ATP hydrolysis activity	0.518811096	0.409285444	20	12
BJP76_RS00025	0034335	MF	DNA negative supercoiling activity	11.25903628	0.791911158	1	100
BJP76_RS00025	0006265	BP	DNA topological change	8.27366184	0.722352898	1	100
BJP76_RS00025	0005694	CC	chromosome	6.427343853	0.672814041	1	100
BJP76_RS00025	0006261	BP	DNA-templated DNA replication	7.472622859	0.701620151	2	99
BJP76_RS00025	0005737	CC	cytoplasm	1.995323122	0.509803577	4	99
BJP76_RS00025	0003677	MF	DNA binding	3.165839629	0.56305155	9	100
BJP76_RS00025	0005524	MF	ATP binding	2.988591495	0.555715127	10	100
BJP76_RS00025	0046872	MF	metal ion binding	2.506105122	0.534561512	18	100
BJP76_RS00030	0034335	MF	DNA negative supercoiling activity	11.25904801	0.791911412	1	98
BJP76_RS00030	0006265	BP	DNA topological change	8.273670464	0.722353116	1	98
BJP76_RS00030	0005694	CC	chromosome	6.427350552	0.672814233	1	98
BJP76_RS00030	0006261	BP	DNA-templated DNA replication	7.471109001	0.701579944	2	97
BJP76_RS00030	0005737	CC	cytoplasm	1.994918895	0.5097828	4	97
BJP76_RS00030	0003677	MF	DNA binding	3.165842929	0.563051685	9	98
BJP76_RS00030	0005524	MF	ATP binding	2.98859461	0.555715258	10	98
BJP76_RS00030	0046677	BP	response to antibiotic	0.170286386	0.3646179	23	2
BJP76_RS00035	0016020	CC	membrane	0.738739223	0.429499313	1	99
BJP76_RS00050	0015074	BP	DNA integration	6.841583909	0.684491242	1	99
