Gene	Terms
Dmagna000012-T1	GO:0008270,GO:2000767,GO:0005737,GO:0003727,GO:0045182,GO:0003729
Dmagna000014-T1	GO:0016020
Dmagna000015-T1	GO:0016020
Dmagna000015-T2	GO:0016020
Dmagna000022-T1	GO:0052650,GO:0042572,GO:0016020
Dmagna000022-T2	GO:0052650,GO:0042572,GO:0016020
Dmagna000023-T1	GO:0016020
Dmagna000025-T1	GO:0034703,GO:0005216,GO:0034220,GO:0016740
Dmagna000026-T1	GO:0022857,GO:0055085,GO:0016020,GO:0071944,GO:0008292,GO:0015871
Dmagna000027-T1	GO:0042302,GO:0062129,GO:0016020
Dmagna000028-T1	GO:0005581,GO:0005201,GO:0030198,GO:0031012,GO:0005615,GO:0016020
Dmagna000029-T1	GO:0005581
Dmagna000030-T1	GO:0005581,GO:0005201,GO:0030198,GO:0031012,GO:0042302,GO:0005615,GO:0048856,GO:0016020
Dmagna000031-T1	GO:0005581,GO:0005201,GO:0030198,GO:0031012,GO:0005615,GO:0016020
Dmagna000032-T1	GO:0005201,GO:0005615,GO:0016020
Dmagna000033-T1	GO:0005201,GO:0005615,GO:0016020
Dmagna000036-T1	GO:0016020,GO:0098700,GO:0015187,GO:0044292,GO:0015816,GO:0044306,GO:0015812,GO:0098793
Dmagna000037-T1	GO:0016272,GO:0051082,GO:0006457,GO:0009409,GO:0005737
Dmagna000038-T1	GO:0016020
Dmagna000039-T1	GO:0042811,GO:0016740,GO:1990234,GO:0008299,GO:0006744
Dmagna000039-T2	GO:0008299,GO:0016740,GO:1990234,GO:0042811,GO:0046982,GO:0006744
Dmagna000040-T1	GO:0016747,GO:0008340,GO:0005739,GO:0006635,GO:0016509,GO:0016020,GO:0003924,GO:0005525,GO:0048731,GO:0016192,GO:0051649
Dmagna000041-T1	GO:0006412,GO:0015934,GO:0003735,GO:0005761,GO:0098798
Dmagna000043-T1	GO:0042811,GO:0016740,GO:1990234,GO:0008299,GO:0006744
Dmagna000044-T1	GO:0030968,GO:0004521,GO:1990604,GO:0004674,GO:0090502,GO:0006468,GO:0005524,GO:0070059,GO:0051082
Dmagna000045-T1	GO:0004420,GO:0015936,GO:0005789,GO:0008299,GO:0050661,GO:0031903,GO:0005777,GO:0003678,GO:0005524,GO:0006695,GO:0016787,GO:0001955,GO:0048703,GO:0001755,GO:0003007,GO:0000723,GO:0032508,GO:0006310,GO:0006281
Dmagna000046-T1	GO:0005737,GO:0003676,GO:0003824
Dmagna000047-T1	GO:0005581,GO:0005201,GO:0030198,GO:0031012,GO:0005615,GO:0016020
Dmagna000050-T1	GO:0008484,GO:0016020
Dmagna000059-T1	GO:0003677
Dmagna000060-T1	GO:0005634,GO:0005737
Dmagna000061-T1	GO:0016020,GO:0030170,GO:0009058,GO:0005739,GO:0003824
Dmagna000062-T1	GO:0030837,GO:0003779,GO:0005856,GO:0030016,GO:0044877,GO:0005546,GO:0004713,GO:0032587,GO:0030175,GO:0005524,GO:0048471,GO:0005911,GO:0005829,GO:0032507,GO:0010591,GO:0030835,GO:0010976,GO:0030042,GO:0043538,GO:0010613
Dmagna000064-T1	GO:0019135,GO:0008612,GO:0042406,GO:0046872
Dmagna000065-T1	GO:0004252,GO:0006508,GO:0042302
Dmagna000066-T1	GO:0008010,GO:0062129
Dmagna000067-T1	GO:0006486,GO:0016758,GO:0000139,GO:0042302
Dmagna000067-T2	GO:0006486,GO:0016758,GO:0000139,GO:0042302
Dmagna000068-T1	GO:0006486,GO:0000139,GO:0016758
Dmagna000069-T1	GO:0140359,GO:0055085,GO:0016020,GO:0016887,GO:0006486,GO:0005524,GO:0016758
Dmagna000069-T2	GO:0140359,GO:0055085,GO:0016020,GO:0016887,GO:0005524
Dmagna000070-T1	GO:0022857,GO:0055085,GO:0016020,GO:0006820,GO:0006144
Dmagna000071-T1	GO:0022857,GO:0055085,GO:0016020,GO:0006820,GO:0006144
Dmagna000071-T2	GO:0022857,GO:0055085,GO:0016020,GO:0006820,GO:0006144
Dmagna000072-T1	GO:0004523,GO:0090502,GO:0003676
